exp(in months),salary(in thousands)
18.87489434658254,21.239696153449607
21.2886893675645,18.933015184285296
39.66193222769353,44.64106534843518
33.22865251038766,31.313398065902756
10.60478118083246,9.944499630133382
33.614126798503385,28.9240093784809
27.821179560838356,26.56989701538955
26.197210099856452,22.37012725274048
17.092460815437867,27.25560194451641
32.60362212565097,36.10513811045829
24.98438557625904,22.465116905506072
34.19212278586294,33.91743011012686
5.420794483502426,4.609665829073762
27.979900272346132,32.297982673748585
28.402121582156145,18.488941778894013
33.06445072691914,30.814717169988047
19.004136625670494,19.225999074666454
29.129706337413285,26.10030979619102
25.590142976638095,24.515070577140822
25.25365031352848,26.781740988644124
31.57547054330588,30.102675441690863
31.946152867294426,28.826175503874254
23.472474707718288,24.364535663210727
23.05880376677936,29.30918530169017
14.674661251686384,19.8461275299201
24.520122890573074,22.62000304740146
36.70177089005271,36.43429671575332
15.914935831450375,19.298995808755397
13.289845767018264,14.88637798124276
12.138582380547783,14.010703891163205
14.840964495914003,19.604353025501368
22.059901248983778,27.59979660774472
44.299530113226325,43.464629649053364
10.445628124893766,21.15740189026119
18.845692850264008,25.603045151393967
30.701333060926157,32.842316984061576
18.402236830720106,21.389654268814738
45.33530208094858,41.99646505053144
17.299670021960942,19.337465403248753
20.260104992257897,25.334451994239494
37.79564373859587,34.114100970923225
12.926966107611243,8.949541314451078
49.045090175110644,44.90744187192091
22.768085845169644,13.425864143611985
33.514673785319886,29.97726714830371
25.253078580548127,27.23190500528223
25.573791625708175,31.274685230713366
22.542032705722885,27.309001617722174
23.433687039433245,32.73699831055363
27.261237589060446,36.27024141979025
42.56769083306738,35.897076282573735
30.709958670154688,28.512104081101015
30.462458942216994,25.348981741827636
26.865805885225086,22.666196921783815
13.659080697011461,19.23559673941051
15.693376423847742,18.077891577355132
37.370093454191625,36.15111164343019
38.57835901147671,38.87554686544004
33.3491777311185,33.18540767995487
33.61352530972545,36.15596229613463
18.8274838796863,23.448105104749175
37.088206858366554,40.37845604852556
42.702009827653754,28.946381969376688
28.19556115789688,26.599373827922147
30.118358595060506,23.29034488258487
38.409423014551344,30.75765533703064
27.848844783081724,12.224150503685529
20.3791344872856,16.009275924562974
23.165034883166456,24.134761138125572
25.183563675261237,19.670494379209025
24.08906978238098,18.06013225565234
17.09689289273679,25.285457919546744
14.979448127682732,16.491867960028053
34.11754595541574,36.30486730209436
39.157114327899514,45.21711460659981
37.98517278755698,32.976208270036274
31.668448196868205,38.5941411115931
6.267464488984846,15.751882919971518
20.27965480743334,19.49083867603041
29.985466678107674,28.95504466469472
48.8709167381833,49.53996574386805
30.18477730702378,27.208718621577223
32.913829984724025,28.096155384827682
16.66270811840068,27.05696749920051
32.807858172702325,36.785573294177915
17.127725129801412,24.21424075747963
12.107904867123523,14.833846869690042
32.816353483103526,34.76883491138347
13.049508089585078,7.604533319545695
14.942548567072471,15.926724780391485
24.808444989322542,36.133632240662564
36.10812502253045,32.60182703199714
17.449316429069512,17.08330662068703
28.64061640946744,28.971555004703006
36.391553422531274,31.15957048955322
